ApplicantID,Name,Age,Occupation,EducationLevel,MaritalStatus,MonthlyIncome,LoanAmount,LoanType,CreditScore,ApprovalStatus,ApplicationDate,race,sex
0,5,45,7,3,2,10466,0.8020532978203679,3,672,2,18,4,0
1,0,26,4,0,1,4280,-0.19021410517795284,3,651,2,15,3,1
2,6,56,9,2,0,6573,-1.1396326686536906,4,775,2,16,2,0
3,12,44,2,1,1,12547,-0.029582048589319013,4,532,1,10,1,1
4,7,42,4,2,1,5431,-1.1171523553906502,0,421,2,5,0,0
5,5,55,0,1,1,3921,-0.05172175104534361,0,508,1,0,2,1
6,3,41,7,2,2,7554,1.0751550428856067,2,539,0,19,0,1
7,6,33,6,3,0,10618,-1.6781383545456119,4,587,1,11,1,1
8,9,52,4,3,0,10259,1.170798557495633,0,408,0,14,2,1
9,11,22,6,1,2,11093,-0.9788643677422505,3,608,2,4,3,0
10,7,57,1,2,1,3108,0.8600252571744508,1,547,0,6,0,0
11,6,50,3,1,1,3953,-0.8792016456094383,0,800,2,7,2,1
12,11,26,0,2,1,7595,1.2607879327091975,2,617,0,12,0,0
13,4,54,8,2,1,14515,-1.636243225282673,0,824,2,3,0,1
14,10,40,4,2,2,4218,0.9896617303246501,2,805,2,1,0,0
15,1,25,0,3,2,8673,1.1492038323308336,4,829,0,8,1,1
16,6,26,2,1,0,14456,0.4117814351417067,2,372,1,13,3,1
17,0,44,9,2,0,2954,-1.1824815081762736,1,778,2,9,3,0
18,2,49,3,0,1,13168,0.31307242326853857,0,671,2,17,2,0
19,8,51,5,2,1,2315,0.8506925210622188,1,556,2,2,1,1
