File Name,Fairness Score,Transparency Score,Robustness Score,Privacy Score,Accountability Score,Final Compliance Score
adult.csv,NA,0.46575552825552824,0.46575552825552824,0.0036855036855036856,NA,0.3117321867321867
adult_test.csv,NA,NA,NA,NA,NA,NA
bank-additional-full.csv,NA,NA,NA,NA,NA,NA
compas_scores.csv,0.9663862635104787,0.3835034013605442,0.39200680272108845,0.11352040816326531,NA,0.46385421893884415
cox-parsed.csv,0.9022426574029973,0.9292101341281669,0.8483606557377049,0.7168405365126677,NA,0.8491634959453842
cox-violent-parsed.csv,0.9658047149966669,0.9634279475982532,0.9664301310043668,0.9061135371179039,NA,0.9504440826792977
cox-violent-parsed_updated.csv,0.33333333333333326,1.0,1.0,1.0,0.6666666666666666,0.7999999999999999
cox-violent-parsed_updated1.csv,1.0,1.0,1.0,0.0,0.6666666666666666,0.7333333333333333
credit_features_subset.csv,NA,0.6536723163841808,0.6536723163841808,0.27570621468926554,0.3333333333333333,0.4790960451977401
credit_test.csv,NA,0.9806856591018831,0.9473684210526315,0.3993239980685659,0.3333333333333333,0.6651778528891035
diabetes_prediction_dataset.csv,0.9206372194062273,0.9587,0.9499,0.0858,NA,0.7287593048515568
exp_data.csv,1.0,NA,NA,NA,0.6666666666666666,0.8333333333333333
health care diabetes.csv,NA,0.7467532467532467,0.7662337662337663,0.5194805194805194,NA,0.6774891774891775
healthcare_noshows.csv,0.9279114951655086,0.3452659127021217,0.3452659127021217,0.0,NA,0.40461083014243804
high_compliance_example.csv,0.9586511441188278,0.0,0.0,0.0,0.6666666666666666,0.32506356215709886
high_compliance_improved.csv,0.9853896103896104,0.0,0.0,0.0,0.6666666666666666,0.3304112554112554
jobs.csv,0.6,0.0,0.0,0.5,NA,0.275
loan_approval_data.csv,0.25,0.25,0.25,0.5,NA,0.3125
loan_approval_dataset.csv,NA,0.00936768149882904,0.00936768149882904,0.01522248243559719,NA,0.011319281811085088
ox-violent-parsed3.csv,0.9658047149966669,NA,NA,NA,0.6666666666666666,0.8162356908316668
student-mat.csv,NA,NA,NA,NA,0.6666666666666666,0.6666666666666666
student-por.csv,NA,NA,NA,NA,0.6666666666666666,0.6666666666666666
test_loan_data.csv,NA,0.25,0.25,0.25,NA,0.25
